_excel_row,cardId,cardName,isPrestige,seasonId,cardChapter,sortNo,starLevel,type,jokerTrade,jokerCutdown,ItemId,isTrade,weight_10_0,weight_10_1,weight_10_2,weight_10_3,weight_10_4,weight_10_5,weight_10_6,weight_10_7,weight_10_8,weight_10_9
31,110308,Fit Check,0,1,103,8,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
32,110401,Massage,0,1,104,1,1,1,0,0,0,1,150,50,150,50,150,50,150,50,150,50
33,110402,Hot Tub,0,1,104,2,1,1,0,0,0,1,50,150,50,150,50,150,50,150,50,150
34,110403,Sauna,0,1,104,3,1,1,0,0,0,1,150,50,150,50,150,50,150,50,150,50
35,110404,Facial,0,1,104,4,1,1,0,0,0,1,50,150,50,150,50,150,50,150,50,150
36,110405,Manicure,0,1,104,5,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
37,110406,Acupuncture,0,1,104,6,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
38,110407,Hot Stone,0,1,104,7,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
39,110408,Private Spa,0,1,104,8,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
40,110501,Fire Dance,0,1,105,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
41,110502,Imitation,0,1,105,2,1,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
42,110503,OnStage,0,1,105,3,1,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
43,110504,Comedy,0,1,105,4,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
44,110505,Music Show,0,1,105,5,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
45,110506,Acrobatics,0,1,105,6,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
46,110507,Magic Show,0,1,105,7,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
47,110508,Cabaret,0,1,105,8,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
48,110601,VIP Room,0,1,106,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
49,110602,Casino 101,0,1,106,2,1,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
50,110603,Roulette,0,1,106,3,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
51,110604,Slots,0,1,106,4,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
52,110605,Dice,0,1,106,5,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
53,110606,Casino Gala,0,1,106,6,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
54,110607,High Stakes,0,1,106,7,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
55,110608,Poker,0,1,106,8,3,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
56,110701,Dance Off,0,1,107,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
57,110702,Ballroom,0,1,107,2,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
58,110703,Glow Party,0,1,107,3,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
59,110704,Hula,0,1,107,4,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
60,110705,Retro,0,1,107,5,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
61,110706,Hip Hop,0,1,107,6,3,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
62,110707,Dance Class,0,1,107,7,3,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
63,110708,Deck Dance,0,1,107,8,3,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
64,110801,Chef Show,0,1,108,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
65,110802,Baking,0,1,108,2,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
66,110803,Wine Taste,0,1,108,3,2,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
67,110804,Gala Dinner,0,1,108,4,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
68,110805,Chocolate,0,1,108,5,3,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
69,110806,Sushi,0,1,108,6,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
70,110807,Food Fest,0,1,108,7,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
71,110808,Cook-Off,0,1,108,8,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
72,110901,Painting,0,1,109,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
73,110902,Pottery,0,1,109,2,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
74,110903,Jewelry,0,1,109,3,2,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
75,110904,Photography,0,1,109,4,3,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
76,110905,Towel Art,0,1,109,5,3,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
77,110906,Art Auction,0,1,109,6,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
78,110907,Digital Art,0,1,109,7,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
79,110908,Glasswork,0,1,109,8,4,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
80,111001,Lego Race,0,1,110,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
81,111002,Crafts,0,1,110,2,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
82,111003,Science,0,1,110,3,2,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
83,111004,Waterpark,0,1,110,4,3,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
84,111005,Family Fun,0,1,110,5,3,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
85,111006,Pirate Party,0,1,110,6,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
86,111007,Kids Club,0,1,110,7,4,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
87,111008,Cartoon,0,1,110,8,4,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
88,111101,Beach,0,1,111,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
89,111102,Snorkel,0,1,111,2,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
90,111103,Bus Tour,0,1,111,3,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
91,111104,Shopping,0,1,111,4,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
92,111105,Museum,0,1,111,5,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
93,111106,Sweet Times,0,1,111,6,4,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
94,111107,Heli Tour,0,1,111,7,4,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
95,111108,Jet Ski,0,1,111,8,5,1,0,0,0,0,100,100,100,100,100,100,100,100,100,100
96,111201,Birthday,0,1,112,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
97,111202,Proposal,0,1,112,2,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
98,111203,Wedding,0,1,112,3,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
99,111204,Graduation,0,1,112,4,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
100,111205,Retirement,0,1,112,5,4,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
101,111206,Holiday,0,1,112,6,4,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
102,111207,Maiden,0,1,112,7,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
103,111208,Theme Cruise,0,1,112,8,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
104,111301,Senior Club,0,1,113,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
105,111302,Single Club,0,1,113,2,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
106,111303,Book Club,0,1,113,3,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
107,111304,Gala Ball,0,1,113,4,4,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
108,111305,Youth Club,0,1,113,5,4,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
109,111306,Business,0,1,113,6,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
110,111307,Card Games,0,1,113,7,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
111,111308,Dinner Party,0,1,113,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
112,111401,Astronomy,0,1,114,1,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
113,111402,Spainish,0,1,114,2,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
114,111403,Tango Origin,0,1,114,3,4,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
115,111404,Navigation,0,1,114,4,4,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
116,111405,History,0,1,114,5,5,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
117,111406,Sea Life,0,1,114,6,5,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
118,111407,Lecture,0,1,114,7,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
119,111408,Bridge Tour,0,1,114,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
120,111501,Luggage,0,1,115,1,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
121,111502,Buffet,0,1,115,2,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
122,111503,Tipping,0,1,115,3,4,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
123,111504,Survey,0,1,115,4,4,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
124,111505,Jackpot,0,1,115,5,5,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
125,111506,Photos,0,1,115,6,5,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
126,111507,Loyalty,0,1,115,7,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
127,111508,Talent Show,0,1,115,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
128,111601,Star Cine,0,1,116,1,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
129,111602,Piano Bar,0,1,116,2,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
130,111603,Club Night,0,1,116,3,4,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
131,111604,Flair Show,0,1,116,4,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
132,111605,Karaoke,0,1,116,5,5,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
133,111606,Jazz,0,1,116,6,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
134,111607,Cigar Bar,0,1,116,7,4,2,0,0,0,0,100,50,100,50,100,50,100,50,100,50
135,111608,White Party,0,1,116,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
136,111701,VR,0,1,117,1,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
137,111702,Digital Nav,0,1,117,2,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
138,111703,Robo Bar,0,1,117,3,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
139,111704,Drones,0,1,117,4,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
140,111705,Smart Lock,0,1,117,5,5,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
141,111706,Smart Band,0,1,117,6,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
142,111707,Studio,0,1,117,7,4,2,0,0,0,0,100,20,100,20,100,20,100,20,100,20
143,111708,AI Butler,0,1,117,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
144,111801,Recycle,0,1,118,1,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
145,111802,Eco Talk,0,1,118,2,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
146,111803,Clean Up,0,1,118,3,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
147,111804,Solar,0,1,118,4,5,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
148,111805,WaterSys,0,1,118,5,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
149,111806,Turtles,0,1,118,6,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
150,111807,Carbon,0,1,118,7,5,2,0,0,0,0,100,50,100,50,100,50,100,50,100,50
151,111808,Research,0,1,118,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
152,111901,Champagne,0,1,119,1,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
153,111902,Balcony,0,1,119,2,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
154,111903,Butler,0,1,119,3,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
155,111904,Spa Suite,0,1,119,4,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
156,111905,Gold Card,0,1,119,5,4,2,0,0,0,0,100,50,100,50,100,50,100,50,100,50
157,111906,Heli Pad,0,1,119,6,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
158,111907,OwnerSuit,0,1,119,7,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
159,111908,Jewels,0,1,119,8,5,2,0,0,0,0,100,20,100,20,100,20,100,20,100,20
160,112001,Fireworks Bay,1,1,120,1,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
161,112002,Red Carpet,1,1,120,2,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
162,112003,Crystal Waltz,1,1,120,3,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
163,112004,Brass Fanfare,1,1,120,4,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
164,112005,Champagne Arc,1,1,120,5,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
165,112006,Star Deck,1,1,120,6,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
166,112007,Moonlit Kiss,1,1,120,7,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
167,112008,Midnight Cheer,1,1,120,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
168,112101,Royal Suite,1,1,121,1,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
169,112102,Infinity Pool,1,1,121,2,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
170,112103,Private Island,1,1,121,3,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
171,112104,Pearl Dive,1,1,121,4,4,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
172,112105,Sky Lounge,1,1,121,5,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
173,112106,Sunset Helms,1,1,121,6,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
174,112107,Gold Parade,1,1,121,7,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
175,112108,Farewell Sail,1,1,121,8,5,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
176,120101,Maple,0,2,201,1,1,1,0,0,0,1,150,150,150,150,150,150,150,150,150,150
177,120102,Ginkgo,0,2,201,2,1,1,0,0,0,1,150,150,150,150,150,150,150,150,150,150
178,120103,Fall Trees,0,2,201,3,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
179,120104,Leaf Path,0,2,201,4,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
180,120105,Oak Leaf,0,2,201,5,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
181,120106,Leaf Pile,0,2,201,6,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
182,120107,Pressed Leaf,0,2,201,7,1,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
183,120108,Old Tree,0,2,201,8,1,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
184,120201,Apple,0,2,202,1,1,1,0,0,0,1,150,150,150,150,150,150,150,150,150,150
185,120202,Farm Girl,0,2,202,2,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
186,120203,Persimmon,0,2,202,3,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
187,120204,Fruit Mix,0,2,202,4,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
188,120205,Grapes,0,2,202,5,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
189,120206,Pomegranate,0,2,202,6,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
190,120207,Red Berries,0,2,202,7,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
191,120208,Yellow Apples,0,2,202,8,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
192,120301,Jack-o'-Lantern,0,2,203,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
193,120302,Candy Bag,0,2,203,2,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
194,120303,Bat Charm,0,2,203,3,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
195,120304,Skeleton,0,2,203,4,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
196,120305,Ghost,0,2,203,5,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
197,120306,Witch,0,2,203,6,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
198,120307,Haunted,0,2,203,7,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
199,120308,Full Moon,0,2,203,8,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
200,120401,Turkey,0,2,204,1,1,1,0,0,0,1,150,50,150,50,150,50,150,50,150,50
201,120402,Pumpkin Pie,0,2,204,2,1,1,0,0,0,1,50,150,50,150,50,150,50,150,50,150
202,120403,Green Peas,0,2,204,3,1,1,0,0,0,1,150,50,150,50,150,50,150,50,150,50
203,120404,Dinner,0,2,204,4,1,1,0,0,0,1,50,150,50,150,50,150,50,150,50,150
204,120405,Cranberry Sauce,0,2,204,5,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
205,120406,Mash,0,2,204,6,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
206,120407,Feast,0,2,204,7,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
207,120408,Food Drive,0,2,204,8,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
208,120501,Scarf,0,2,205,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
209,120502,Sweater,0,2,205,2,1,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
210,120503,Trench,0,2,205,3,1,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
211,120504,Rain Boots,0,2,205,4,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
212,120505,Gloves,0,2,205,5,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
213,120506,Jacket,0,2,205,6,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
214,120507,Hot Cider,0,2,205,7,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
215,120508,Plaid Coat,0,2,205,8,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
216,120601,Backpack,0,2,206,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
217,120602,Pencils,0,2,206,2,1,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
218,120603,Calculator,0,2,206,3,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
219,120604,Playground,0,2,206,4,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
220,120605,Books,0,2,206,5,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
221,120606,Notebook,0,2,206,6,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
222,120607,Speech,0,2,206,7,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
223,120608,Award,0,2,206,8,3,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
224,120701,Football,0,2,207,1,1,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
225,120702,Jogging,0,2,207,2,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
226,120703,Campfire,0,2,207,3,2,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
227,120704,Fishing,0,2,207,4,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
228,120705,Ski Trip,0,2,207,5,2,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
229,120706,Biking,0,2,207,6,3,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
230,120707,Marathon,0,2,207,7,3,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
231,120708,Trophy,0,2,207,8,3,1,0,0,0,1,100,10,100,10,100,10,100,10,100,10
232,120801,Lake,0,2,208,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
233,120802,Clouds,0,2,208,2,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
234,120803,Sun Field,0,2,208,3,2,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
235,120804,Snowy Field,0,2,208,4,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
236,120805,Waterfall,0,2,208,5,3,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
237,120806,Park,0,2,208,6,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
238,120807,Rainbow,0,2,208,7,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
239,120808,Wheat,0,2,208,8,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
240,120901,Art Day,0,2,209,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
241,120902,Ceramics,0,2,209,2,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
242,120903,Beads,0,2,209,3,2,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
243,120904,Photo,0,2,209,4,3,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
244,120905,Napkin,0,2,209,5,3,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
245,120906,Gold Token,0,2,209,6,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
246,120907,Design,0,2,209,7,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
247,120908,Glass Art,0,2,209,8,4,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
248,121001,Pizza,0,2,210,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
249,121002,Pumpkin Bread,0,2,210,2,2,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
250,121003,Ginger Man,0,2,210,3,2,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
251,121004,Pie Slice,0,2,210,4,3,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
252,121005,Bread,0,2,210,5,3,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
253,121006,Snack,0,2,210,6,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
254,121007,Chef,0,2,210,7,4,1,0,0,0,1,10,100,10,100,10,100,10,100,10,100
255,121008,Cake,0,2,210,8,4,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
256,121101,Bus Ride,0,2,211,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
257,121102,Scenic Ride,0,2,211,2,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
258,121103,Travel Pic,0,2,211,3,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
259,121104,Hot Tub,0,2,211,4,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
260,121105,Cable Car,0,2,211,5,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
261,121106,Traveler,0,2,211,6,4,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
262,121107,Balloon,0,2,211,7,4,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
263,121108,First Class,0,2,211,8,5,1,0,0,0,0,100,100,100,100,100,100,100,100,100,100
264,121201,Cozy Room,0,2,212,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
265,121202,Circus,0,2,212,2,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
266,121203,Pumpkin Glow,0,2,212,3,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
267,121204,Harvest,0,2,212,4,3,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
268,121205,Rock Star,0,2,212,5,4,1,0,0,0,1,20,100,20,100,20,100,20,100,20,100
269,121206,Gallery,0,2,212,6,4,1,0,0,0,1,100,20,100,20,100,20,100,20,100,20
270,121207,Fireworks,0,2,212,7,5,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
271,121208,Fall Fair,0,2,212,8,4,2,0,0,0,0,100,100,100,100,100,100,100,100,100,100
272,121301,Squirrel,0,2,213,1,2,1,0,0,0,1,100,100,100,100,100,100,100,100,100,100
273,121302,Goose,0,2,213,2,3,1,0,0,0,1,50,100,50,100,50,100,50,100,50,100
274,121303,Bear,0,2,213,3,3,1,0,0,0,1,100,50,100,50,100,50,100,50,100,50
