_excel_row,itemID,name,name_zh,itemType,param1,maxNum,ticketMatchID,desc,_comm,icon,iconNew,validTimeSecond,phoneCardMoney,rewardChip,rewardDiamond,rewardItemNum,reward_itemid_5_0,reward_itemcount_5_0,reward_itemid_5_1,reward_itemcount_5_1,reward_itemid_5_2,reward_itemcount_5_2,reward_itemid_5_3,reward_itemcount_5_3,reward_itemid_5_4,reward_itemcount_5_4,scoreAddition,itemDuration,itemEndTime
33,30119,#UIAvatar68,level30头像框,5,91,1,,#UIDescription80,level30头像框,frame_13,frame_13,,,,,,,,,,,,,,,,,,
34,30120,#UIAvatar69,level50头像框,5,92,1,,#UIDescription81,level50头像框,frame_14,frame_14,,,,,,,,,,,,,,,,,,
35,30121,#UIAvatar70,level100头像框,5,93,1,,#UIDescription82,level100头像框,frame_15,frame_15,,,,,,,,,,,,,,,,,,
36,30122,#UIAvatar71,level150头像框,5,94,1,,#UIDescription83,level150头像框,frame_16,frame_16,,,,,,,,,,,,,,,,,,
37,30123,#UIAvatar72,level200头像框,5,95,1,,#UIDescription84,level200头像框,frame_17,frame_17,,,,,,,,,,,,,,,,,,
38,30124,#UIAvatar73,level300头像框,5,96,1,,#UIDescription85,level300头像框,frame_18,frame_18,,,,,,,,,,,,,,,,,,
39,161000,#UIPortrait100,默认fb,44,1,1,,#UIPortraitDesc100,默认fb,portrait_0,portrait_0,,,,,,,,,,,,,,,,,,
40,161001,#UIPortrait1,柯基狗,44,1,1,,#UIPortraitDesc1,柯基狗,portrait_1,portrait_1,,,,,,,,,,,,,,,,,,
41,161002,#UIPortrait2,灰姑娘,44,1,1,,#UIPortraitDesc2,灰姑娘,portrait_2,portrait_2,,,,,,,,,,,,,,,,,,
42,161003,#UIPortrait3,王子,44,1,1,,#UIPortraitDesc3,王子,portrait_3,portrait_3,,,,,,,,,,,,,,,,,,
43,161004,#UIPortrait4,大叔,44,1,1,,#UIPortraitDesc4,大叔,portrait_4,portrait_4,,,,,,,,,,,,,,,,,,
44,161005,#UIPortrait5,橘猫,44,1,1,,#UIPortraitDesc5,橘猫,portrait_5,portrait_5,,,,,,,,,,,,,,,,,,
45,161006,#UIPortrait6,灰猫,44,1,1,,#UIPortraitDesc6,灰猫,portrait_6,portrait_6,,,,,,,,,,,,,,,,,,
46,172001,#UICharm1,Skull ,45,1,1,,#UICharmDesc1,Skull ,charm_1,charm_1,,,,,,,,,,,,,,,,,,
47,172002,#UICharm2,Tropical Fish,45,1,1,,#UICharmDesc2,Tropical Fish,charm_2,charm_2,,,,,,,,,,,,,,,,,,
48,172003,#UICharm3,Fire Dragon,45,1,1,,#UICharmDesc3,Fire Dragon,charm_3,charm_3,,,,,,,,,,,,,,,,,,
49,172004,#UICharm4,God's Lamp,45,1,1,,#UICharmDesc4,God's Lamp,charm_4,charm_4,,,,,,,,,,,,,,,,,,
50,172005,#UICharm5,Mythology,45,1,1,,#UICharmDesc5,Mythology,charm_6,charm_6,,,,,,,,,,,,,,,,,,
51,172006,#UICharm6,Caribbean,45,1,1,,#UICharmDesc6,Caribbean,charm_7,charm_7,,,,,,,,,,,,,,,,,,
52,110001,#UIDeckName1,默认牌背,20,1,1,,#UIDeckDesc1,默认牌背,deck_1,,,,,,,,,,,,,,,,,,,
53,110002,#UIDeckName2,battlePass牌背,20,1,1,,#UIDeckDesc2,新手任务牌背,deck_2,,86400,,,,,,,,,,,,,,,,,
54,110003,#UIDeckName3,vip牌背,20,1,1,,#UIDeckDesc3,vip牌背,deck_3,,,,,,,,,,,,,,,,,,,
55,120001,#UIBubbleName1,聊天气泡,21,1,1,,#UIBubbleDesc1,聊天气泡,bubble_1,,,,,,,,,,,,,,,,,,,
56,120002,#UIBubbleName3,vip聊天气泡,21,1,1,,#UIBubbleDesc3,vip聊天气泡,bubble_2,,,,,,,,,,,,,,,,,,,
57,120003,#UIBubbleName4,battlePass聊天气泡,21,1,1,,#UIBubbleDesc4,battlePass聊天气泡,bubble_3,,86400,,,,,,,,,,,,,,,,,
58,120004,#UIVip2Tip,vip2奖励提示(只做提示）,23,1,1,,#UIVip2Tip,vip2奖励提示,vip2tip,,,,,,,,,,,,,,,,,,,
59,120005,#UIVip9Tip,vip9奖励提示(只做提示）,23,1,1,,#UIVip9Tip,vip9奖励提示,vip9tip,,,,,,,,,,,,,,,,,,,
60,120006,#UIBubbleName5,新手任务聊天气泡,21,1,1,,#UIBubbleDesc5,新手任务聊天气泡,bubble_4,,,,,,,,,,,,,,,,,,,
61,120007,#UIBubbleName6,万圣节聊天气泡,21,1,1,,#UIBubbleDesc6,万圣节聊天气泡,bubble_5,,86400,,,,,,,,,,,,,,,,,
62,120008,#UIBubbleName7,新手聊天气泡,21,1,1,,#UIBubbleDesc7,新手聊天气泡,bubble_6,,,,,,,,,,,,,,,,,,,
63,190001,#UITableName1,默认牌桌,19,1,1,,#UITableDesc1,默认牌桌背景,table_1,,,,,,,,,,,,,,,,,,,
64,190002,#UITableName2,vip牌桌,19,1,1,,#UITableDesc2,vip牌桌,table_2,,,,,,,,,,,,,,,,,,,
65,10001,#EXCELItemName1,6M金币赛门票,2,,999999,362,#EXCELItemDesc1,用于报名6M金币赛,ruchangquan1,,,,,,,,,,,,,,,,,,,
66,10002,#EXCELItemName2,1M金币赛门票,2,,999999,361,#EXCELItemDesc2,用于报名1M金币赛,ruchangquan4,,,,,,,,,,,,,,,,,,,
67,10003,#EXCELItemName3,中级满人赛门票,2,,999999,3,#EXCELItemDesc3,用于报名中级满人赛,ruchangquan7,,,,,,,,,,,,,,,,,,,
68,10004,#EXCELItemName15,中级兑换券赛门票,2,,999999,302,#EXCELItemDesc15,用于中级兑换券赛,ruchangquan3,,,,,,,,,,,,,,,,,,,
69,10005,#EXCELItemName16,初级兑换券赛门票,2,,999999,301,#EXCELItemDesc16,用于报名初级兑换券赛,ruchangquan6,,,,,,,,,,,,,,,,,,,
70,10006,50里拉话费赛门票,,2,,999999,103,用于报名50里拉话费赛,,ruchangquan9,,,,,,,,,,,,,,,,,,,
71,10007,#EXCELItemName6,100钻石赛门票,2,,999999,331,#EXCELItemDesc6,用于报名100钻石赛,ruchangquan2,,,,,,,,,,,,,,,,,,,
72,10008,#EXCELItemName7,500钻石赛门票,2,,999999,332,#EXCELItemDesc7,用于报名500钻石赛,ruchangquan5,,,,,,,,,,,,,,,,,,,
73,10009,#EXCELItemName8,150钻石赛门票,2,,999999,203,#EXCELItemDesc8,用于报名150钻石赛,ruchangquan8,,,,,,,,,,,,,,,,,,,
74,10010,#EXCELItemName19,新锦标赛门票,17,,999999,61,#EXCELItemDesc19,用于报名锦标赛,challengeTicket,,,,,,,,,,,,,,,,,,,
75,20002,#EXCELItemName10,20里拉电话卡兑换券,3,2000000,999999,,#EXCELItemDesc10,用于兑换20里拉电话卡,quan20,,2592000,20,,,,,,,,,,,,,,,,
76,20003,#EXCELItemName11,25里拉电话卡兑换券,3,2500000,999999,,#EXCELItemDesc11,用于兑换25里拉电话卡,quan25,,2592000,25,,,,,,,,,,,,,,,,
77,20005,#EXCELItemName13,50里拉电话卡兑换券,3,5000000,999999,,#EXCELItemDesc13,用于兑换50里拉电话卡,quan50,,2592000,50,,,,,,,,,,,,,,,,
78,20022,#EXCELItemName17,电话卡兑换券碎片,9,,999999,,#EXCELItemDesc17,集齐一定数量的兑换券，可以兑换相应额度的电话卡，通过比赛、签到可获得兑换券。,quan0,,,,,,,,,,,,,,,,,,,
79,20023,#PMarket10,奖券,11,,999999,,#PMarket13,集齐一定数量的奖券，可以兑换相应额度的电话卡,dhj_da,,,,,,,,,,,,,,,,,,,
80,20101,#PLottery49,夺宝券,8,,999999,,#PLottery48,用于抵消夺宝费用,duobaoka,,,,,,,,,,,,,,,,,,,
81,30001,#UIAvatar19,头像框,5,1,999999,,#UIDescription23,财富榜第1名,kuang_6,,604800,,,,,,,,,,,,,,,,,
82,30002,#UIAvatar19,头像框,5,2,999999,,#UIDescription24,财富榜第2名,kuang_7,,604800,,,,,,,,,,,,,,,,,
83,30003,#UIAvatar19,头像框,5,3,999999,,#UIDescription25,财富榜第3名,kuang_8,,604800,,,,,,,,,,,,,,,,,
84,30004,#UIAvatar19,头像框,5,4,999999,,#UIDescription26,财富榜第4-20名,kuang_9,,604800,,,,,,,,,,,,,,,,,
85,30005,#UIAvatar19,头像框,5,5,999999,,#UIDescription27,财富榜第21-50名,kuang_10,,604800,,,,,,,,,,,,,,,,,
86,30006,#UIAvatar20,头像框,5,6,999999,,#UIDescription28,赢钱榜第1名,kuang_2,,604800,,,,,,,,,,,,,,,,,
87,30007,#UIAvatar20,头像框,5,7,999999,,#UIDescription29,赢钱榜第2名,kuang_1,,604800,,,,,,,,,,,,,,,,,
88,30008,#UIAvatar20,头像框,5,8,999999,,#UIDescription30,赢钱榜第3名,kuang_3,,604800,,,,,,,,,,,,,,,,,
89,30009,#UIAvatar20,头像框,5,9,999999,,#UIDescription31,赢钱榜第4-20名,kuang_4,,604800,,,,,,,,,,,,,,,,,
90,30010,#UIAvatar20,头像框,5,10,999999,,#UIDescription32,赢钱榜第21-50名,kuang_5,,604800,,,,,,,,,,,,,,,,,
91,30011,#PItem1,头像框,5,11,999999,,#PItem12,荣誉榜第1名,kuang_6,,604800,,,,,,,,,,,,,,,,,
92,30012,#PItem1,头像框,5,12,999999,,#PItem13,荣誉榜第2名,kuang_7,,604800,,,,,,,,,,,,,,,,,
93,30013,#PItem1,头像框,5,13,999999,,#PItem14,荣誉榜第3名,kuang_8,,604800,,,,,,,,,,,,,,,,,
94,30014,#PItem1,头像框,5,14,999999,,#PItem15,荣誉榜第4-20名,kuang_9,,604800,,,,,,,,,,,,,,,,,
95,30015,#PItem1,头像框,5,15,999999,,#PItem16,荣誉榜第21-50名,kuang_10,,604800,,,,,,,,,,,,,,,,,
96,30050,#UIAvatar9,头像框,5,28,999999,,#UIDescription12,马戏团地鼠,dishu,,604800,,,,,,,,,,,,,,,,,
97,30051,#UIAvatar10,头像框,5,29,999999,,#UIDescription12,马戏团兔子,tuzi,,604800,,,,,,,,,,,,,,,,,
98,30052,#UIAvatar11,头像框,5,30,999999,,#UIDescription12,马戏团猴子,houzi,,604800,,,,,,,,,,,,,,,,,
99,30053,#UIAvatar12,头像框,5,31,999999,,#UIDescription12,马戏团驴,lv,,604800,,,,,,,,,,,,,,,,,
100,30054,#UIAvatar13,头像框,5,32,999999,,#UIDescription12,马戏团大象,xiang,,604800,,,,,,,,,,,,,,,,,
101,30055,#UIAvatar14,头像框,5,33,999999,,#UIDescription12,马戏团老虎,laohu,,604800,,,,,,,,,,,,,,,,,
102,30056,#UIAvatar15,头像框,5,34,999999,,#UIDescription12,马戏团熊,xiong,,604800,,,,,,,,,,,,,,,,,
103,30057,#UIAvatar16,头像框,5,35,999999,,#UIDescription12,马戏团小丑,chou,,604800,,,,,,,,,,,,,,,,,
104,30058,#UIAvatar17,头像框,5,36,999999,,#UIDescription13,赛马赢钱榜第1名,matou-1,,604800,,,,,,,,,,,,,,,,,
105,30059,#UIAvatar17,头像框,5,37,999999,,#UIDescription14,赛马赢钱榜第2名,matou-3,,604800,,,,,,,,,,,,,,,,,
106,30060,#UIAvatar17,头像框,5,38,999999,,#UIDescription15,赛马赢钱榜第3名,matou-5,,604800,,,,,,,,,,,,,,,,,
107,30061,#UIAvatar17,头像框,5,39,999999,,#UIDescription16,赛马赢钱榜第4-20名,matou-7,,604800,,,,,,,,,,,,,,,,,
108,30062,#UIAvatar17,头像框,5,40,999999,,#UIDescription17,赛马赢钱榜第21-50名,matou-9,,604800,,,,,,,,,,,,,,,,,
109,30063,#UIAvatar18,头像框,5,41,999999,,#UIDescription18,邀请好友排行榜第1名,Invite-1   ,,604800,,,,,,,,,,,,,,,,,
110,30064,#UIAvatar18,头像框,5,42,999999,,#UIDescription19,邀请好友排行榜第2名,Invite-2,,604800,,,,,,,,,,,,,,,,,
111,30065,#UIAvatar18,头像框,5,43,999999,,#UIDescription20,邀请好友排行榜第3名,Invite-3,,604800,,,,,,,,,,,,,,,,,
112,30066,#UIAvatar18,头像框,5,44,999999,,#UIDescription21,邀请好友排行榜第4-20名,Invite-4,,604800,,,,,,,,,,,,,,,,,
113,30067,#UIAvatar18,头像框,5,45,999999,,#UIDescription22,邀请好友排行榜第21-50名,Invite-5,,604800,,,,,,,,,,,,,,,,,
114,30021,#UIAvatar1,球衣（30天）,5,17,999999,,#UIDescription4,商城购买获得,heiqiuyi,,2592000,,,,,,,,,,,,,,,,,
115,30022,#UIAvatar1,球衣（30天）,5,18,999999,,#UIDescription3,商城购买获得,hongqiuyi,,2592000,,,,,,,,,,,,,,,,,
116,30023,#UIAvatar1,球衣（30天）,5,19,999999,,#UIDescription2,商城购买获得,huangqiuyi,,2592000,,,,,,,,,,,,,,,,,
117,30024,#UIAvatar1,球衣（30天）,5,20,999999,,#UIDescription1,商城购买获得,lanqiuyi,,2592000,,,,,,,,,,,,,,,,,
118,30025,#UIAvatar25,VAV,5,16,999999,,#UIDescription37,斋月充值获得,tuerqifuhao,,157680000,,,,,,,,,,,,,,,,,
119,30026,#UIAvatar2,甜筒（30天）,5,21,999999,,#UIDescription5,商城购买获得,bingqiling,,2592000,,,,,,,,,,,,,,,,,
120,30027,#UIAvatar3,面包圈（30天）,5,22,999999,,#UIDescription6,商城购买获得,mianbaoquan,,2592000,,,,,,,,,,,,,,,,,
121,30028,#UIAvatar4,软糖（30天）,5,23,999999,,#UIDescription7,商城购买获得,ruantang,,2592000,,,,,,,,,,,,,,,,,
122,30029,#UIAvatar5,热气球（30天）,5,24,999999,,#UIDescription8,商城购买获得,reqiqiu,,2592000,,,,,,,,,,,,,,,,,
123,30030,#UIAvatar6,国旗（30天）,5,25,999999,,#UIDescription9,商城购买获得,guoqi,,2592000,,,,,,,,,,,,,,,,,
124,30031,#UIAvatar7,糖水（30天）,5,26,999999,,#UIDescription10,商城购买获得,hongcha,,2592000,,,,,,,,,,,,,,,,,
125,30032,#UIAvatar8,咖啡（30天）,5,27,999999,,#UIDescription11,商城购买获得,kafeibei,,2592000,,,,,,,,,,,,,,,,,
126,30068,#UIAvatar21,管理员（7天）,5,46,999999,,#UIDescription33,管理员的专属头像,guanli,,604800,,,,,,,,,,,,,,,,,
127,30069,#UIAvatar22,两周年专属头像（永久）,5,47,999999,,#UIDescription34,两周年充值获得,liangzhounian2,,157680000,,,,,,,,,,,,,,,,,
128,30070,#UIAvatar23,王冠头像（永久）,5,48,999999,,#UIDescription35,VIP5礼包,wangguan,,157680000,,,,,,,,,,,,,,,,,
129,30071,#UIAvatar24,新年神灯头像（永久）,5,49,999999,,#UIDescription36,新年礼包购买,shendeng,,157680000,,,,,,,,,,,,,,,,,
130,30072,#UIAvatar26,2020斋月头像,5,50,999999,,#UIDescription38,2020斋月活动,zhaiyue2020,,157680000,,,,,,,,,,,,,,,,,
131,30073,#UIAvatar27,2020古尔邦节头像框,5,51,999999,,#UIDescription39,2020古尔邦活动,guerbang2020,,157680000,,,,,,,,,,,,,,,,,
132,30074,#UIAvatar28,苏丹的花押,5,52,999999,,#UIDescription40,苏丹的珍宝活动,sudan_1,,157680000,,,,,,,,,,,,,,,,,
133,30075,#UIAvatar29,97周年国旗头像,5,53,999999,,#UIDescription41,97周年国庆活动,guoqing97,,157680000,,,,,,,,,,,,,,,,,
134,30076,#UIAvatar30,2021新年头像（夺宝第一期）,5,54,999999,,#UIDescription42,2021新年头像（夺宝第一期）,xinnian2021,,157680000,,,,,,,,,,,,,,,,,
135,30077,#UIAvatar31,2021情人节头像（夺宝第二期）,5,55,999999,,#UIDescription43,2021情人节头像（夺宝第二期）,qingren2021,,157680000,,,,,,,,,,,,,,,,,
136,30078,#UIAvatar32,2021斋月头像（夺宝第三期）,5,56,999999,,#UIDescription44,2021斋月头像（夺宝第三期）,zhaiyue2021,,157680000,,,,,,,,,,,,,,,,,
137,30079,#UIAvatar33,2021斋月敲鼓人,5,57,999999,,#UIDescription45,2021斋月敲鼓人头像,qiaoguren2021,,157680000,,,,,,,,,,,,,,,,,
138,30080,#UIAvatar34,2022年斋月郁金香,5,58,999999,,#UIDescription46,2022年斋月郁金香头像框,yujinxiang2022,,157680000,,,,,,,,,,,,,,,,,
139,30081,#UIAvatar35,2022年斋月字母,5,59,999999,,#UIDescription47,2022年斋月字母头像框,zimu2022,,157680000,,,,,,,,,,,,,,,,,
140,30082,#UIAvatar36,星星进度礼包,5,60,999999,,#UIDescription48,星星进度礼包,bagprogress,,604800,,,,,,,,,,,,,,,,,
141,30083,#UIAvatar37,钥匙宝箱,5,61,999999,,#UIDescription49,钥匙礼包,bagkey,,604800,,,,,,,,,,,,,,,,,
142,30084,#UIAvatar38,6周年头像框,5,62,999999,,#UIDescription50,6周年头像框,sixyears,,157680000,,,,,,,,,,,,,,,,,
143,30085,#UIAvatar39,2022世界杯头像框,5,63,1,,#UIDescription51,2022世界杯头像框,2022worldcup,,157680000,,,,,,,,,,,,,,,,,
144,30086,#UIAvatar40,2023年新年头像,5,64,1,,#UIDescription52,2023年新年头像,2023newyear,,157680000,,,,,,,,,,,,,,,,,
145,30087,#UIAvatar41,2023农历新年头像,5,65,1,,#UIDescription53,2023农历新年头像,2023lunanewyear,,157680000,,,,,,,,,,,,,,,,,
146,40001,#PPackage7,钻石折扣券,6,,999999,,#PPackage8,,coupon1,,7776000,,,,,,,,,,,,,,,,,
147,40002,#PItem65,老虎机券,15,,999999,,#PItem65,商城购买获得,slotTicket,,,,,,,,,,,,,,,,,,,
148,40003,#PItem66,老虎机券x1,4,,999999,,#PItem66,商城购买获得,slotTicket,,,,,,1,40002,1,,,,,,,,,,,
149,40004,#PItem67,老虎机券x18,4,,999999,,#PItem67,商城购买获得,slotTicket,,,,,,1,40002,18,,,,,,,,,,,
150,40005,#PItem68,互动表情,16,,999999,,#PItem68,牌局内购买获得,zhadan,,,,,,,,,,,,,,,,,,,
151,40006,#PItem69,互动表情x1,4,,999999,,#PItem69,礼包购买获得,zhadan,,,,,,,40005,1,,,,,,,,,,,
152,40007,#PItem70,互动表情x200,4,,999999,,#PItem70,礼包购买获得,zhadan,,,,,,,40005,200,,,,,,,,,,,
153,50001,#PItem17,3天特权表情(非道具),7,,,,,,bqb,,259200,,,,,,,,,,,,,,,,,
154,50002,#PItem18,7天特权表情(非道具),7,,,,,,bqb,,604800,,,,,,,,,,,,,,,,,
155,50003,#PItem19,30天特权表情(非道具),7,,,,,,bqb,,2592000,,,,,,,,,,,,,,,,,
156,60001,#PItem20,下次奖励翻倍,7,,,,,,bqb,,,,,,,,,,,,,,,,,,,
157,60002,#PItem27,房卡,10,,999999,,#PItem30,,fangka-1,,,,,,,,,,,,,,,,,,,
158,60003,#PItem28,房卡x10,4,,,,,,fangka-2,,,,,,1,60002,10,,,,,,,,,,,
159,60004,#PItem29,房卡x50,4,,,,,,fangka-3,,,,,,1,60002,50,,,,,,,,,,,
160,70001,#PItem21,VIP1礼包,4,,,,,,v1,,,,5000000,,1,40002,10,,,,,,,,,,,
161,70002,#PItem22,VIP2礼包,4,,,,,,v2,,,,15000000,,1,40002,30,,,,,,,,,,,
162,70003,#PItem23,VIP3礼包,4,,,,,,v3,,,,25000000,,1,40002,50,,,,,,,,,,,
163,70004,#PItem24,VIP4礼包,4,,,,,,v4,,,,50000000,,1,40002,100,,,,,,,,,,,
164,70005,#PItem25,VIP5礼包,4,,,,,,v5,,,,100000000,,1,40002,200,,,,,,,,,,,
165,70011,#PItem31,迷你牌,13,,,,#PItem32,可随机开出黑6、红6、蓝6、黄6、假王牌中的一张牌,v1,,,,,,,,,,,,,,,,,,,
166,70012,#PItem33,黑6,12,,999999,,#PItem38,集齐黑6、红6、蓝6、黄6、假王牌，可在开斋节抽取斋月大奖,kaizai-10,,,,,,,,,,,,,,,,,,,
167,70013,#PItem34,红6,12,,999999,,#PItem38,集齐黑6、红6、蓝6、黄6、假王牌，可在开斋节抽取斋月大奖,kaizai-11,,,,,,,,,,,,,,,,,,,
168,70014,#PItem35,蓝6,12,,999999,,#PItem38,集齐黑6、红6、蓝6、黄6、假王牌，可在开斋节抽取斋月大奖,kaizai-13,,,,,,,,,,,,,,,,,,,
169,70015,#PItem36,黄6,12,,999999,,#PItem38,集齐黑6、红6、蓝6、黄6、假王牌，可在开斋节抽取斋月大奖,kaizai-12,,,,,,,,,,,,,,,,,,,
170,70016,#PItem37,假王牌,12,,999999,,#PItem38,集齐黑6、红6、蓝6、黄6、假王牌，可在开斋节抽取斋月大奖,kaizai-14,,,,,,,,,,,,,,,,,,,
171,70017,#PWorldChat6,喇叭,14,,999999,,#PWorldChat14,可在喇叭频道说话，每次消耗一个喇叭,quanliao-11,,,,,,,,,,,,,,,,,,,
172,70018,#PWorldChat15,喇叭x10,4,,999999,,,,laba-2,,,,,,1,70017,10,,,,,,,,,,,
173,70019,#PWorldChat16,喇叭x50,4,,999999,,,,laba-3,,,,,,1,70017,50,,,,,,,,,,,
174,70020,#PItem39,钥匙,12,,999999,,,可在开斋节抽取斋月大奖,,,,,,,,,,,,,,,,,,,,
175,70021,,开斋节累计充值礼包1,4,,,,,,,,,,50000,,2,10004,1,20101,1,,,,,,,,,
176,70022,,开斋节累计充值礼包2,4,,,,,,,,,,150000,,2,10004,2,20101,2,,,,,,,,,
177,70023,,开斋节累计充值礼包3,4,,,,,,,,,,1000000,,2,10004,5,20101,5,,,,,,,,,
178,70024,,开斋节累计充值礼包4,4,,,,,,,,,,10000000,,2,10004,10,20101,10,,,,,,,,,
179,70025,,开斋节累计充值礼包5,4,,,,,,,,,,25000000,,3,10004,25,20101,25,30025,1,,,,,,,
180,70031,,开斋特等奖,4,,,,,,,,,,100000000,,2,20023,3000,50003,1,,,,,,,,,
181,70032,,开斋1等奖,4,,,,,,,,,,10000000,,2,20023,1000,50003,1,,,,,,,,,
182,70033,,开斋2等奖,4,,,,,,,,,,5000000,,2,20023,500,50003,1,,,,,,,,,
183,70034,,开斋3等奖,4,,,,,,,,,,1000000,,2,20023,200,50003,1,,,,,,,,,
184,70035,,开斋4等奖,4,,,,,,,,,,500000,,2,20023,100,50002,1,,,,,,,,,
185,70036,,开斋5等奖,4,,,,,,,,,,100000,,2,20023,10,50002,1,,,,,,,,,
186,70037,,开斋6等奖,4,,,,,,,,,,10000,,2,20023,1,50001,1,,,,,,,,,
187,70038,,存钱罐礼包1,4,,,,,,,,,,950000,,,,,,,,,,,,,,,
188,70039,,存钱罐礼包2,4,,,,,,,,,,1600000,,,,,,,,,,,,,,,
189,70040,,存钱罐礼包3,4,,,,,,,,,,2000000,,,,,,,,,,,,,,,
190,70041,,存钱罐礼包4,4,,,,,,,,,,3040000,,,,,,,,,,,,,,,
191,70042,,存钱罐礼包5,4,,,,,,,,,,5040000,,,,,,,,,,,,,,,
192,70043,,存钱罐礼包6,4,,,,,,,,,,7400000,,,,,,,,,,,,,,,
193,70044,,存钱罐礼包7,4,,,,,,,,,,11750000,,,,,,,,,,,,,,,
194,70045,,存钱罐礼包8,4,,,,,,,,,,19500000,,,,,,,,,,,,,,,
195,70046,,存钱罐礼包9,4,,,,,,,,,,23800000,,,,,,,,,,,,,,,
196,70047,,存钱罐礼包10,4,,,,,,,,,,33750000,,,,,,,,,,,,,,,
197,70048,,存钱罐礼包11,4,,,,,,,,,,44700000,,,,,,,,,,,,,,,
198,70049,,存钱罐礼包12,4,,,,,,,,,,63000000,,,,,,,,,,,,,,,
199,70050,,存钱罐礼包13,4,,,,,,,,,,105550000,,,,,,,,,,,,,,,
