_excel_row,id,pack,itemId,season,weight,maxStar,maxStarCount,cardNum,type1,star1,group1,num1,type2,star2,group2,num2,type3,star3,group3,num3,type4,star4,group4,num4,type5,star5,group5,num5,cardId1,cardId2,cardId3
24,20,100001,210001,1,100,1,2,1,1,1,1001,1,0,0,45,,,,45,,,,45,,,,,,,,
25,21,100001,210001,1,200,1,1,2,1,1,1001,2,0,0,45,,,,45,,,,45,,,,,,,,
26,22,100002,210002,1,200,2,1,2,1,1,1001,1,1,2,1002,1,0,0,45,,,,45,,,,,,,,
27,23,100002,210002,1,100,2,2,4,1,1,1001,2,1,2,1002,2,0,0,45,,,,45,,,,,,,,
28,24,100003,210003,1,100,3,1,2,1,1,1001,1,1,3,1003,1,0,0,45,,,,45,,,,,,,,
29,25,100003,210003,1,200,3,1,3,1,1,1001,1,1,2,1002,1,1,3,1003,1,0,0,45,,,,,,,,
30,26,100003,210003,1,100,3,2,4,1,1,1001,2,1,2,1002,1,1,3,1003,1,0,0,45,,,,,,,,
31,27,100004,210004,1,100,4,3,4,1,1,1001,3,1,4,1004,1,0,0,45,,,,45,,,,,,,,
32,28,100004,210004,1,300,4,3,5,1,1,1001,1,1,2,1002,3,1,4,1004,1,0,0,45,,,,,,,,
33,29,100004,210004,1,100,4,2,4,1,1,1001,2,1,3,1003,1,1,4,1004,1,0,0,45,,,,,,,,
34,30,100004,210004,1,100,4,2,4,1,2,1002,2,1,3,1003,1,1,4,1004,1,0,0,45,,,,,,,,
35,31,100004,210004,1,100,4,2,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,1,4,1004,2,0,0,45,0,,,
36,32,100005,210005,1,100,5,3,6,1,1,1001,3,1,2,1002,2,1,5,1005,1,0,0,45,,,,,,,,
37,33,100005,210005,1,100,5,3,6,1,1,1001,3,1,3,1003,1,1,5,1005,2,0,0,45,,,,,,,,
38,34,100005,210005,1,600,5,2,6,1,1,1001,2,1,2,1002,2,1,3,1003,1,1,5,1005,1,0,0,45,0,,,
39,35,100005,210005,1,100,5,2,5,1,1,1001,1,1,2,1002,1,1,4,1004,2,1,5,1005,1,0,0,45,0,,,
40,36,100005,210005,1,100,5,3,6,1,1,1001,1,1,2,1002,3,1,3,1003,1,1,5,1005,1,0,0,45,0,,,
41,37,100005,210005,1,100,5,2,5,1,1,1001,1,1,2,1002,1,1,4,1004,2,1,5,1005,1,0,0,45,0,,,
42,38,100005,210005,1,100,5,3,7,1,1,1001,1,1,2,1002,1,1,3,1003,3,1,4,1004,1,1,5,1005,1,,,
43,39,100005,210005,1,100,5,2,7,1,1,1001,1,1,2,1002,2,1,3,1003,1,1,4,1004,1,1,5,1005,2,,,
44,40,100006,210010,1,100,6,1,4,1,1,1001,1,1,2,1002,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
45,41,100006,210010,1,100,6,1,4,1,1,1001,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
46,42,100006,210010,1,100,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,,,
47,43,100006,210010,1,100,6,2,6,1,1,1001,2,1,2,1002,1,1,4,1004,1,2,4,1006,1,1,5,1005,1,,,
48,44,100006,210010,1,700,6,2,6,1,1,1001,2,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,4,1006,1,,,
49,45,100006,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,5,1009,1,1,5,1005,1,,,
50,46,100006,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,4,1004,1,2,5,1009,1,1,5,1005,1,,,
51,47,100006,210010,1,300,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,5,1009,1,,,
52,48,100007,210010,1,100,6,1,4,1,1,1001,1,1,2,1002,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
53,49,100007,210010,1,100,6,1,4,1,1,1001,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
54,50,100007,210010,1,100,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,,,
55,51,100007,210010,1,100,6,2,6,1,1,1001,2,1,2,1002,1,1,4,1004,1,2,4,1006,1,1,5,1005,1,,,
56,52,100007,210010,1,700,6,2,6,1,1,1001,2,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,4,1006,1,,,
57,53,100007,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,5,1009,1,1,5,1005,1,,,
58,54,100007,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,4,1004,1,2,5,1009,1,1,5,1005,1,,,
59,55,100007,210010,1,300,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,5,1009,1,,,
60,56,100008,210010,1,100,6,1,4,1,1,1001,1,1,2,1002,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
61,57,100008,210010,1,100,6,1,4,1,1,1001,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
62,58,100008,210010,1,100,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,,,
63,59,100008,210010,1,100,6,2,6,1,1,1001,2,1,2,1002,1,1,4,1004,1,2,4,1006,1,1,5,1005,1,,,
64,60,100008,210010,1,700,6,2,6,1,1,1001,2,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,4,1006,1,,,
65,61,100008,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,5,1009,1,1,5,1005,1,,,
66,62,100008,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,4,1004,1,2,5,1009,1,1,5,1005,1,,,
67,63,100008,210010,1,300,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,5,1009,1,,,
68,64,100009,210010,1,100,6,1,4,1,1,1001,1,1,2,1002,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
69,65,100009,210010,1,100,6,1,4,1,1,1001,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
70,66,100009,210010,1,100,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,,,
71,67,100009,210010,1,100,6,2,6,1,1,1001,2,1,2,1002,1,1,4,1004,1,2,4,1006,1,1,5,1005,1,,,
72,68,100009,210010,1,700,6,2,6,1,1,1001,2,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,4,1006,1,,,
73,69,100009,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,5,1009,1,1,5,1005,1,,,
74,70,100009,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,4,1004,1,2,5,1009,1,1,5,1005,1,,,
75,71,100009,210010,1,300,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,5,1009,1,,,
76,72,100010,210010,1,100,6,1,4,1,1,1001,1,1,2,1002,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
77,73,100010,210010,1,100,6,1,4,1,1,1001,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,0,0,45,0,,,
78,74,100010,210010,1,100,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,4,1006,1,1,5,1005,1,,,
79,75,100010,210010,1,100,6,2,6,1,1,1001,2,1,2,1002,1,1,4,1004,1,2,4,1006,1,1,5,1005,1,,,
80,76,100010,210010,1,700,6,2,6,1,1,1001,2,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,4,1006,1,,,
81,77,100010,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,2,5,1009,1,1,5,1005,1,,,
82,78,100010,210010,1,50,6,1,5,1,1,1001,1,1,2,1002,1,1,4,1004,1,2,5,1009,1,1,5,1005,1,,,
83,79,100010,210010,1,300,6,1,5,1,1,1001,1,1,2,1002,1,1,3,1003,1,1,4,1004,1,2,5,1009,1,,,
84,80,100050,210003,2,100,3,2,3,1,1,2001,2,1,3,2003,1,0,0,45,,,,45,,,,,,,,
85,81,100051,210003,2,100,3,2,4,1,1,2001,2,1,2,2002,1,1,3,2003,1,0,0,45,,,,,,,,
86,82,100052,210003,2,100,3,2,4,1,1,2001,2,1,2,2002,1,1,3,2003,1,0,0,45,,,,,,,,
87,83,100053,210004,2,100,4,1,3,1,1,2001,1,1,3,2003,1,1,4,2004,1,0,0,45,,,,,,,,
88,84,100054,210004,2,100,4,2,4,1,1,2001,2,1,2,2002,1,1,4,2004,1,0,0,45,,,,,,,,
89,85,100055,210004,2,100,4,1,4,1,1,2001,1,1,2,2002,1,1,3,2003,1,1,4,2004,1,0,0,0,0,,,
90,86,100056,210004,2,100,4,2,5,1,1,2001,2,1,2,2002,2,1,4,2004,1,0,0,45,,,,,,,,
91,87,100057,210004,2,100,4,2,5,1,1,2001,2,1,2,2002,1,1,3,2003,1,1,4,2004,1,0,0,0,0,,,
92,88,100058,210005,2,100,5,2,5,1,1,2001,2,1,2,2002,1,1,4,2004,1,1,5,2005,1,0,0,0,0,,,
93,89,100059,210001,2,75,1,2,2,1,1,2001,2,0,0,45,,,,45,,,,45,,,,,,,,
94,90,100060,210002,2,100,2,2,3,1,1,2001,2,1,2,2002,1,0,0,45,,,,45,,,,,,,,
95,91,100061,210010,2,100,4,2,4,1,1,2001,2,1,3,2003,1,2,4,2006,1,0,0,45,,,,,,,,
96,92,100062,210010,2,100,4,3,5,1,1,2001,3,1,2,2002,1,2,4,2006,1,0,0,45,,,,,,,,
97,93,100063,210010,2,100,4,3,6,1,1,2001,3,1,2,2002,2,2,4,2006,1,0,0,45,,,,,,,,
98,94,100064,210010,2,100,5,2,4,1,1,2001,2,1,3,2003,1,2,5,2009,1,0,0,45,,,,,,,,
99,95,100065,210010,2,100,4,4,6,1,1,2001,4,1,2,2002,1,2,4,2006,1,0,0,45,,,,,,,,
100,96,100066,210010,2,100,4,3,6,1,1,2001,3,1,2,2002,2,2,4,2006,1,0,0,45,,,,,,,,
101,97,100067,210010,2,100,5,3,5,1,1,2001,3,1,2,2002,1,2,5,2009,1,0,0,45,,,,,,,,
102,98,100068,210010,2,100,5,4,6,1,1,2001,4,1,2,2002,1,2,5,2009,1,0,0,45,,,,,,,,
103,99,100001,210001,2,100,1,2,1,1,1,2001,1,0,0,45,,,,45,,,,45,,,,,,,,
104,100,100001,210001,2,200,1,1,2,1,1,2001,2,0,0,45,,,,45,,,,45,,,,,,,,
105,101,100002,210002,2,200,2,1,2,1,1,2001,1,1,2,2002,1,0,0,45,,,,45,,,,,,,,
106,102,100002,210002,2,100,2,2,4,1,1,2001,2,1,2,2002,2,0,0,45,,,,45,,,,,,,,
107,103,100003,210003,2,100,3,1,2,1,1,2001,1,1,3,2003,1,0,0,45,,,,45,,,,,,,,
108,104,100003,210003,2,200,3,1,3,1,1,2001,1,1,2,2002,1,1,3,2003,1,0,0,45,,,,,,,,
109,105,100003,210003,2,100,3,2,4,1,1,2001,2,1,2,2002,1,1,3,2003,1,0,0,45,,,,,,,,
110,106,100004,210004,2,100,4,3,4,1,1,2001,3,1,4,2004,1,0,0,45,,,,45,,,,,,,,
111,107,100004,210004,2,300,4,3,5,1,1,2001,1,1,2,2002,3,1,4,2004,1,0,0,45,,,,,,,,
112,108,100004,210004,2,100,4,2,4,1,1,2001,2,1,3,2003,1,1,4,2004,1,0,0,45,,,,,,,,
113,109,100004,210004,2,100,4,2,4,1,2,2002,2,1,3,2003,1,1,4,2004,1,0,0,45,,,,,,,,
114,110,100004,210004,2,100,4,2,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,1,4,2004,2,0,0,45,0,,,
115,111,100005,210005,2,100,5,3,6,1,1,2001,3,1,2,2002,2,1,5,2005,1,0,0,45,,,,,,,,
116,112,100005,210005,2,100,5,3,6,1,1,2001,3,1,3,2003,1,1,5,2005,2,0,0,45,,,,,,,,
117,113,100005,210005,2,600,5,2,6,1,1,2001,2,1,2,2002,2,1,3,2003,1,1,5,2005,1,0,0,45,0,,,
118,114,100005,210005,2,100,5,2,5,1,1,2001,1,1,2,2002,1,1,4,2004,2,1,5,2005,1,0,0,45,0,,,
119,115,100005,210005,2,100,5,3,6,1,1,2001,1,1,2,2002,3,1,3,2003,1,1,5,2005,1,0,0,45,0,,,
120,116,100005,210005,2,100,5,2,5,1,1,2001,1,1,2,2002,1,1,4,2004,2,1,5,2005,1,0,0,45,0,,,
121,117,100005,210005,2,100,5,3,7,1,1,2001,1,1,2,2002,1,1,3,2003,3,1,4,2004,1,1,5,2005,1,,,
122,118,100005,210005,2,100,5,2,7,1,1,2001,1,1,2,2002,2,1,3,2003,1,1,4,2004,1,1,5,2005,2,,,
123,119,100006,210010,2,100,6,1,4,1,1,2001,1,1,2,2002,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
124,120,100006,210010,2,100,6,1,4,1,1,2001,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
125,121,100006,210010,2,100,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,,,
126,122,100006,210010,2,100,6,2,6,1,1,2001,2,1,2,2002,1,1,4,2004,1,2,4,2006,1,1,5,2005,1,,,
127,123,100006,210010,2,700,6,2,6,1,1,2001,2,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,4,2006,1,,,
128,124,100006,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,5,2009,1,1,5,2005,1,,,
129,125,100006,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,4,2004,1,2,5,2009,1,1,5,2005,1,,,
130,126,100006,210010,2,300,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,5,2009,1,,,
131,127,100007,210010,2,100,6,1,4,1,1,2001,1,1,2,2002,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
132,128,100007,210010,2,100,6,1,4,1,1,2001,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
133,129,100007,210010,2,100,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,,,
134,130,100007,210010,2,100,6,2,6,1,1,2001,2,1,2,2002,1,1,4,2004,1,2,4,2006,1,1,5,2005,1,,,
135,131,100007,210010,2,700,6,2,6,1,1,2001,2,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,4,2006,1,,,
136,132,100007,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,5,2009,1,1,5,2005,1,,,
137,133,100007,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,4,2004,1,2,5,2009,1,1,5,2005,1,,,
138,134,100007,210010,2,300,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,5,2009,1,,,
139,135,100008,210010,2,100,6,1,4,1,1,2001,1,1,2,2002,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
140,136,100008,210010,2,100,6,1,4,1,1,2001,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
141,137,100008,210010,2,100,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,,,
142,138,100008,210010,2,100,6,2,6,1,1,2001,2,1,2,2002,1,1,4,2004,1,2,4,2006,1,1,5,2005,1,,,
143,139,100008,210010,2,700,6,2,6,1,1,2001,2,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,4,2006,1,,,
144,140,100008,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,5,2009,1,1,5,2005,1,,,
145,141,100008,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,4,2004,1,2,5,2009,1,1,5,2005,1,,,
146,142,100008,210010,2,300,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,5,2009,1,,,
147,143,100009,210010,2,100,6,1,4,1,1,2001,1,1,2,2002,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
148,144,100009,210010,2,100,6,1,4,1,1,2001,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
149,145,100009,210010,2,100,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,,,
150,146,100009,210010,2,100,6,2,6,1,1,2001,2,1,2,2002,1,1,4,2004,1,2,4,2006,1,1,5,2005,1,,,
151,147,100009,210010,2,700,6,2,6,1,1,2001,2,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,4,2006,1,,,
152,148,100009,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,5,2009,1,1,5,2005,1,,,
153,149,100009,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,4,2004,1,2,5,2009,1,1,5,2005,1,,,
154,150,100009,210010,2,300,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,5,2009,1,,,
155,151,100010,210010,2,100,6,1,4,1,1,2001,1,1,2,2002,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
156,152,100010,210010,2,100,6,1,4,1,1,2001,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,0,0,45,0,,,
157,153,100010,210010,2,100,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,4,2006,1,1,5,2005,1,,,
158,154,100010,210010,2,100,6,2,6,1,1,2001,2,1,2,2002,1,1,4,2004,1,2,4,2006,1,1,5,2005,1,,,
159,155,100010,210010,2,700,6,2,6,1,1,2001,2,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,4,2006,1,,,
160,156,100010,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,2,5,2009,1,1,5,2005,1,,,
161,157,100010,210010,2,50,6,1,5,1,1,2001,1,1,2,2002,1,1,4,2004,1,2,5,2009,1,1,5,2005,1,,,
162,158,100010,210010,2,300,6,1,5,1,1,2001,1,1,2,2002,1,1,3,2003,1,1,4,2004,1,2,5,2009,1,,,
